county,gm_samp_collection_date,10:2FTS,11ClPF3OUDS,3:3FTCA,4:2FTS,5:3FTCA,6:2FTS,7:3FTCA,8:2FTS,9ClPF3ONS,ADONA,ETFOSA,ETFOSE,HFPA-DA,MEFOSA,MEFOSE,NETFOSAA,NMEFOSAA,PFBSA,PFBTA,PFDOA,PFDSA,PFHA,PFHPA,PFHPSA,PFHXDA,PFHXSA,PFNA,PFNDCA,PFNS,PFOA,PFODA,PFOS,PFOSA,PFPA,PFPES,PFTEDA,PFTRIDA,PFUNDCA
San Bernardino,2021-07-20,2.322092343724431,1.8,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.8,1.8,2.378580600906493,2.944060091918414,1.8,1.964055977621859,4.179423008482981,1.8,1.8,1.8,4.0,1.8,2.0,1.8,1.8,2.0,38.41251090564432,1.8,1.8,1.8,2.0,1.8,3.283285509403036,1.8,4.0,2.0,2.0,1.8,1.8,1.8
San Bernardino,2021-07-21,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-07-26,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-07-29,2.322092343724431,1.84,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.8399999999999999,1.8399999999999999,2.378580600906493,2.944060091918414,1.84,1.964055977621859,4.179423008482981,1.84,1.84,1.84,4.0,1.84,2.0,1.8399999999999999,1.8399999999999999,2.0,38.41251090564432,1.8399999999999999,1.84,1.84,2.0,1.84,3.283285509403036,1.84,4.0,2.0,2.0,1.8399999999999999,1.8399999999999999,1.8399999999999999
San Bernardino,2021-08-05,2.322092343724431,1.75,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.75,1.75,2.378580600906493,2.944060091918414,1.75,1.964055977621859,4.179423008482981,1.75,1.75,4.15,4.0,1.75,2.0,12.4,2.0,2.0,38.41251090564432,1.8,1.75,4.15,2.0,5.5,3.283285509403036,7.949999999999999,4.0,2.0,2.0,1.75,1.75,1.75
San Bernardino,2021-09-20,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-09-21,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,3.5,4.0,1.7,2.0,4.7,2.4,2.0,38.41251090564432,1.7,1.7,1.7,2.0,4.1,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-09-28,2.322092343724431,2.0,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,2.0,2.0,2.378580600906493,2.944060091918414,2.0,1.964055977621859,4.179423008482981,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,38.41251090564432,2.0,2.0,2.0,2.0,2.0,3.283285509403036,2.0,4.0,2.0,2.0,2.0,2.0,2.0
San Bernardino,2021-09-30,2.322092343724431,1.7,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7,1.7,2.378580600906493,2.944060091918414,1.7,1.964055977621859,4.179423008482981,1.7,1.7,1.7,4.0,1.7,2.0,1.7,1.7,2.0,38.41251090564432,1.7,1.7,1.7,2.0,1.7,3.283285509403036,1.7,4.0,2.0,2.0,1.7,1.7,1.7
San Bernardino,2021-10-05,2.322092343724431,1.7399999999999998,4.2512734845799365,8.0,3.4184259571074085,8.0,5.346817322462485,8.0,1.7399999999999998,1.7399999999999998,2.378580600906493,2.944060091918414,1.7399999999999998,1.964055977621859,4.179423008482981,1.7399999999999998,1.7399999999999998,1.7399999999999998,4.0,1.7399999999999998,2.0,1.7399999999999998,1.7399999999999998,2.0,38.41251090564432,1.7399999999999998,1.7399999999999998,1.7399999999999998,2.0,1.7399999999999998,3.283285509403036,1.7399999999999998,4.0,2.0,2.0,1.7399999999999998,1.7399999999999998,1.7399999999999998
