Counties,Sex,Cancer,PopTot,AAIR,Cancer_Incidents
Glenn,Female,Uterine,70092,34.1,23.901372
Glenn,Male,Lymph,73239,31.1,22.777329
Glenn,Female,Lymph,70092,27.2,19.065024
Glenn,Male,Urinary,73239,41.7,30.540663000000002
Glenn,Female,Urinary,70092,8.5,5.957820000000001
Glenn,Male,Kidney,73239,23.1,16.918209
Glenn,Female,Kidney,70092,11.9,8.340948000000001
Glenn,Male,Thyroid,73239,5.9,4.3211010000000005
Glenn,Female,Thyroid,70092,21.6,15.139872000000002
Glenn,Male,Liver,73239,20.5,15.013995
Glenn,Female,Liver,70092,4.3,3.013956
Glenn,Male,Pancreas,73239,11.4,8.349246
Glenn,Female,Pancreas,70092,10.0,7.009200000000001
Glenn,Male,AllSite,73239,539.8,395.3441219999999
Glenn,Female,AllSite,70092,450.1,315.48409200000003
Humboldt,Male,Prostate,340492,96.4,328.234288
Humboldt,Female,Prostate,342713,0.0,0.0
Humboldt,Male,Breast,340492,1.4,4.766888
Humboldt,Female,Breast,342713,116.3,398.575219
Humboldt,Male,Lung,340492,53.1,180.801252
Humboldt,Female,Lung,342713,47.4,162.44596199999998
Humboldt,Male,CRC,340492,39.1,133.132372
Humboldt,Female,CRC,342713,34.2,117.207846
Humboldt,Male,Mela,340492,38.4,130.748928
Humboldt,Female,Mela,342713,30.5,104.52746499999999
Humboldt,Male,Uterine,340492,0.0,0.0
Humboldt,Female,Uterine,342713,23.8,81.56569400000001
Humboldt,Male,Lymph,340492,24.1,82.058572
Humboldt,Female,Lymph,342713,18.3,62.716479
Humboldt,Male,Urinary,340492,38.0,129.38696000000002
Humboldt,Female,Urinary,342713,9.7,33.243161
Humboldt,Male,Kidney,340492,16.0,54.47872
Humboldt,Female,Kidney,342713,10.6,36.327578
Humboldt,Male,Thyroid,340492,7.4,25.196408
Humboldt,Female,Thyroid,342713,17.5,59.974775
Humboldt,Male,Liver,340492,18.2,61.969544
Humboldt,Female,Liver,342713,6.1,20.905493
Humboldt,Male,Pancreas,340492,17.5,59.5861
Humboldt,Female,Pancreas,342713,10.4,35.642152
Humboldt,Male,AllSite,340492,473.1,1610.867652
Humboldt,Female,AllSite,342713,425.0,1456.53025
Imperial,Male,Prostate,462967,92.2,426.85557400000005
Imperial,Female,Prostate,436734,0.0,0.0
Imperial,Male,Breast,462967,1.4,6.481538
Imperial,Female,Breast,436734,101.5,443.28501
Imperial,Male,Lung,462967,39.0,180.55713
Imperial,Female,Lung,436734,22.4,97.828416
Imperial,Male,CRC,462967,45.9,212.50185299999998
Imperial,Female,CRC,436734,24.8,108.310032
Imperial,Male,Mela,462967,8.2,37.963294
Imperial,Female,Mela,436734,3.9,17.032626
Imperial,Male,Uterine,462967,0.0,0.0
Imperial,Female,Uterine,436734,25.1,109.62023400000001
Imperial,Male,Lymph,462967,19.9,92.130433
Imperial,Female,Lymph,436734,14.0,61.142759999999996
Imperial,Male,Urinary,462967,22.0,101.85274
Imperial,Female,Urinary,436734,5.3,23.146902
Imperial,Male,Kidney,462967,29.4,136.112298
Imperial,Female,Kidney,436734,16.7,72.934578
Imperial,Male,Thyroid,462967,6.0,27.77802
Imperial,Female,Thyroid,436734,19.5,85.16313
Imperial,Male,Liver,462967,23.8,110.18614600000001
Imperial,Female,Liver,436734,11.4,49.787676000000005
Imperial,Male,Pancreas,462967,11.7,54.167139
Imperial,Female,Pancreas,436734,8.1,35.375454
Imperial,Male,AllSite,462967,411.2,1903.7203040000002
Imperial,Female,AllSite,436734,337.9,1475.724186
Inyo,Male,Prostate,47801,57.0,27.24657
Inyo,Female,Prostate,46286,0.0,0.0
Inyo,Male,Breast,47801,0.0,0.0
Inyo,Female,Breast,46286,127.9,59.199794
Inyo,Male,Lung,47801,29.3,14.005693
Inyo,Female,Lung,46286,24.5,11.340069999999999
Inyo,Male,CRC,47801,42.6,20.363226
Inyo,Female,CRC,46286,17.6,8.146336000000002
Inyo,Male,Mela,47801,27.8,13.288677999999999
Inyo,Female,Mela,46286,26.4,12.219503999999999
Inyo,Male,Uterine,47801,0.0,0.0
Inyo,Female,Uterine,46286,17.8,8.238908
Inyo,Male,Lymph,47801,10.6,5.066906
Inyo,Female,Lymph,46286,13.9,6.4337539999999995
Inyo,Male,Urinary,47801,16.6,7.934966000000001
Inyo,Female,Urinary,46286,3.9,1.805154
Inyo,Male,Kidney,47801,21.9,10.468418999999999
Inyo,Female,Kidney,46286,14.8,6.850328000000001
Inyo,Male,Thyroid,47801,4.7,2.2466470000000003
Inyo,Female,Thyroid,46286,15.8,7.313188000000001
Inyo,Male,Liver,47801,13.7,6.548737
Inyo,Female,Liver,46286,3.4,1.573724
Inyo,Male,Pancreas,47801,10.2,4.8757019999999995
Inyo,Female,Pancreas,46286,8.5,3.9343100000000004
Inyo,Male,AllSite,47801,341.6,163.288216
Inyo,Female,AllSite,46286,354.2,163.945012
Kern,Male,Prostate,2318198,103.4,2397.016732
Kern,Female,Prostate,2198974,0.0,0.0
Kern,Male,Breast,2318198,1.1,25.500178000000002
Kern,Female,Breast,2198974,106.2,2335.310388
Kern,Male,Lung,2318198,45.2,1047.8254960000002
Kern,Female,Lung,2198974,36.8,809.2224319999999
Kern,Male,CRC,2318198,39.8,922.642804
Kern,Female,CRC,2198974,29.2,642.100408
Kern,Male,Mela,2318198,22.8,528.5491440000001
Kern,Female,Mela,2198974,15.4,338.641996
Kern,Male,Uterine,2318198,0.0,0.0
Kern,Female,Uterine,2198974,24.8,545.345552
Kern,Male,Lymph,2318198,20.0,463.63960000000003
Kern,Female,Lymph,2198974,13.3,292.463542
Kern,Male,Urinary,2318198,27.8,644.459044
Kern,Female,Urinary,2198974,6.4,140.73433599999998
Kern,Male,Kidney,2318198,25.1,581.867698
Kern,Female,Kidney,2198974,13.9,305.657386
Kern,Male,Thyroid,2318198,7.1,164.59205799999998
